ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source,Contactset_ID,Respondent
set28-DEM38,set28-F,DEM38,No,DEM38-no,"It is possible that there are, but as far as I am aware, secret words and expressions are used internally (e.g. between owners of Nen) rather than with outsiders, so any exchange between Nen and Idi speakers is likely conducted in language(s) that are relevant for the individuals involved.",,set28,Eri Kashima & Dineke Schokkin
set29-DEM38,set29-F,DEM38,Yes,DEM38-yes,"There are speech taboos in place, e.g. for the initiate and (I believe) for women e.g. in certain kinship roles towards the initiate. There are also more general speech taboos for certain avoidance dyads – such as a man and his mother-in-law and for other poison cousins ('jongok', e.g. MMBS).",,set29,Jill Vaughan
set30-DEM38,set30-F,DEM38,No,DEM38-no,,,set30,Richard Kowalik
set31-DEM38,set31-F,DEM38,?,,,,set31,Sonal Kulkarni-Joshi
set32-DEM38,set32-F,DEM38,?,,,,set32,Hannah Haynie
set33-DEM38,set33-F,DEM38,?,,,,set33,Anna Berge
set34-DEM38,set34-F,DEM38,?,,,,set34,Erika Sandman
set01-DEM39_DEME39-1,set01-F,DEM39_DEME39-1,?,,,,set01,Hank Nater
set02-DEM39_DEME39-1,set02-F,DEM39_DEME39-1,Yes,DEM39_DEME39-1-yes,Children in safe environments are very much left unsupervised or supervised by older children who don't necessarily have to be siblings or even belong to the same group,,set02,Mathias Jenny
set03-DEM39_DEME39-1,set03-F,DEM39_DEME39-1,?,,,,set03,Yvonne Treis & Deginet Wotango Doyiso
set04-DEM39_DEME39-1,set04-F,DEM39_DEME39-1,?,,,,set04,Hannah Gibson & Maarten Mous
set05-DEM39_DEME39-1,set05-F,DEM39_DEME39-1,B,DEM39_DEME39-1-B,,,set05,Ellen Smith-Dennis
set06a-DEM39_DEME39-1,set06a-F,DEM39_DEME39-1,No,DEM39_DEME39-1-no,Parents always look after their children,,set06a,Joseph M Brincat
set07-DEM39_DEME39-1,set07-F,DEM39_DEME39-1,Yes,DEM39_DEME39-1-yes,,,set07,Admire Phiri
set08-DEM39_DEME39-1,set08-F,DEM39_DEME39-1,?,,Children do not participate in exchange. In the absence of one parent (for exchange) the other parent cares for the children.,,set08,Ross Bowden
set09-DEM39_DEME39-1,set09-F,DEM39_DEME39-1,Yes,DEM39_DEME39-1-yes,,,set09,Lameen Souag
set10-DEM39_DEME39-1,set10-F,DEM39_DEME39-1,?,,,,set10,Anonymous
set11-DEM39_DEME39-1,set11-F,DEM39_DEME39-1,?,,,,set11,Alexander Cobbinah
set12-DEM39_DEME39-1,set12-F,DEM39_DEME39-1,No,DEM39_DEME39-1-no,It is highly contextual.,,set12,Saloumeh Gholami in cooperation with Mahîr Dogan
set13-DEM39_DEME39-1,set13-F,DEM39_DEME39-1,?,,,,set13,Jerry K. Jacka
set14-DEM39_DEME39-1,set14-F,DEM39_DEME39-1,No,DEM39_DEME39-1-no,,,set14,Ana María Ospina Bozzi
set15-DEM39_DEME39-1,set15-F,DEM39_DEME39-1,?,,,,set15,Bruno Olsson
set16-DEM39_DEME39-1,set16-F,DEM39_DEME39-1,?,,,,set16,Katja Hannß
set17-DEM39_DEME39-1,set17-F,DEM39_DEME39-1,Yes,DEM39_DEME39-1-yes,,,set17,Rosnátaly Avelino
set18-DEM39_DEME39-1,set18-F,DEM39_DEME39-1,Yes,DEM39_DEME39-1-yes,,,set18,Ruth Singer
set19-DEM39_DEME39-1,set19-F,DEM39_DEME39-1,?,,,,set19,Francesca Moro & Yunus Sulistyono
set20-DEM39_DEME39-1,set20-F,DEM39_DEME39-1,?,,,,set20,Arun Ghosh
set21-DEM39_DEME39-1,set21-F,DEM39_DEME39-1,No,DEM39_DEME39-1-no,,,set21,Georg Ziegelmeyer
set22-DEM39_DEME39-1,set22-F,DEM39_DEME39-1,?,,,,set22,Elizabeth Hall
set23-DEM39_DEME39-1,set23-F,DEM39_DEME39-1,?,,,,set23,Veronika Zikmundová & Kicengge (Chengzhi)
set24-DEM39_DEME39-1,set24-F,DEM39_DEME39-1,Yes,DEM39_DEME39-1-yes,,,set24,Cristina Messineo & Paola Cúneo & Agustina Paredes & Nicolás Brid & Ana Blanco
set25-DEM39_DEME39-1,set25-F,DEM39_DEME39-1,?,,,,set25,María Belén Carpio & Marcela Mendoza
set27-DEM39_DEME39-1,set27-F,DEM39_DEME39-1,?,,,,set27,Dineke Schokkin
set28-DEM39_DEME39-1,set28-F,DEM39_DEME39-1,No,DEM39_DEME39-1-no,"Again, given that I'm answering for personal and private modes of exchange, I would not imagine adults other than parents would be present (if children are present at all).",,set28,Eri Kashima & Dineke Schokkin
set29-DEM39_DEME39-1,set29-F,DEM39_DEME39-1,Yes,DEM39_DEME39-1-yes,"Young children are cared for by parents, especially mothers and mothers' sisters (who are considered mothers), other adults (most likely female), and older children. Researchers in northern Australia have noted the contemporary importance of the 'kid mob' – i.e. groups of children spending time together away from communal areas and from adult social activities – and this is assumed to have been the case pre-colonially also. Loakes et al (2013): ""In Indigenous Australian communities, older children not only play with and interact with younger children, but are also expected to take on some responsibility with respect to looking after them in the community. This means that for many older children, a large proportion of their daily interactions are likely to take place with other children"". Hamilton (1981), in her study of Burarra child-rearing practices, notes that children usually stay with caregivers for the first 18–24 months of life, but from ~2 are ""expected to adapt rapidly to new circumstances, to accept the peer group as the most significant force in its daily life, and to look to other children rather than mother or father for support and learning experiences"" (1981: 100). These peer groups then develop into the more structured 'kid mobs' for children 5-9. To an extent, these groups are determined by common language and kinship ties (1981: 103), and remain important for older kids and adolescents.",,set29,Jill Vaughan
set30-DEM39_DEME39-1,set30-F,DEM39_DEME39-1,Yes,DEM39_DEME39-1-yes,"There is no institutionalized context of practices of exchange, so looking after children in these contexts is probably the same as usual, that is, partaking in normal daily life in the Norwegian/Swedish society.",,set30,Richard Kowalik
set31-DEM39_DEME39-1,set31-F,DEM39_DEME39-1,?,,,,set31,Sonal Kulkarni-Joshi
set32-DEM39_DEME39-1,set32-F,DEM39_DEME39-1,?,,,,set32,Hannah Haynie
set33-DEM39_DEME39-1,set33-F,DEM39_DEME39-1,?,,,,set33,Anna Berge
set34-DEM39_DEME39-1,set34-F,DEM39_DEME39-1,?,,,,set34,Erika Sandman
set01-DEM39_DEME39-2,set01-F,DEM39_DEME39-2,?,,,,set01,Hank Nater
set02-DEM39_DEME39-2,set02-F,DEM39_DEME39-2,Yes,DEM39_DEME39-2-yes,[See above],,set02,Mathias Jenny
set03-DEM39_DEME39-2,set03-F,DEM39_DEME39-2,?,,,,set03,Yvonne Treis & Deginet Wotango Doyiso
set04-DEM39_DEME39-2,set04-F,DEM39_DEME39-2,?,,,,set04,Hannah Gibson & Maarten Mous
set05-DEM39_DEME39-2,set05-F,DEM39_DEME39-2,B,DEM39_DEME39-2-B,,,set05,Ellen Smith-Dennis
set06a-DEM39_DEME39-2,set06a-F,DEM39_DEME39-2,Yes,DEM39_DEME39-2-yes,Parents always look after their children,,set06a,Joseph M Brincat
set07-DEM39_DEME39-2,set07-F,DEM39_DEME39-2,Yes,DEM39_DEME39-2-yes,,,set07,Admire Phiri
set08-DEM39_DEME39-2,set08-F,DEM39_DEME39-2,?,,,,set08,Ross Bowden
set09-DEM39_DEME39-2,set09-F,DEM39_DEME39-2,Yes,DEM39_DEME39-2-yes,,,set09,Lameen Souag
set10-DEM39_DEME39-2,set10-F,DEM39_DEME39-2,?,,,,set10,Anonymous
set11-DEM39_DEME39-2,set11-F,DEM39_DEME39-2,?,,,,set11,Alexander Cobbinah
set12-DEM39_DEME39-2,set12-F,DEM39_DEME39-2,Yes,DEM39_DEME39-2-yes,[See above],,set12,Saloumeh Gholami in cooperation with Mahîr Dogan
set13-DEM39_DEME39-2,set13-F,DEM39_DEME39-2,?,,,,set13,Jerry K. Jacka
set14-DEM39_DEME39-2,set14-F,DEM39_DEME39-2,Yes,DEM39_DEME39-2-yes,,,set14,Ana María Ospina Bozzi
set15-DEM39_DEME39-2,set15-F,DEM39_DEME39-2,?,,,,set15,Bruno Olsson
set16-DEM39_DEME39-2,set16-F,DEM39_DEME39-2,?,,,,set16,Katja Hannß
set17-DEM39_DEME39-2,set17-F,DEM39_DEME39-2,Yes,DEM39_DEME39-2-yes,,,set17,Rosnátaly Avelino
set18-DEM39_DEME39-2,set18-F,DEM39_DEME39-2,Yes,DEM39_DEME39-2-yes,,,set18,Ruth Singer
set19-DEM39_DEME39-2,set19-F,DEM39_DEME39-2,?,,,,set19,Francesca Moro & Yunus Sulistyono
set20-DEM39_DEME39-2,set20-F,DEM39_DEME39-2,?,,,,set20,Arun Ghosh
set21-DEM39_DEME39-2,set21-F,DEM39_DEME39-2,Yes,DEM39_DEME39-2-yes,,,set21,Georg Ziegelmeyer
set22-DEM39_DEME39-2,set22-F,DEM39_DEME39-2,?,,,,set22,Elizabeth Hall
set23-DEM39_DEME39-2,set23-F,DEM39_DEME39-2,?,,,,set23,Veronika Zikmundová & Kicengge (Chengzhi)
set24-DEM39_DEME39-2,set24-F,DEM39_DEME39-2,Yes,DEM39_DEME39-2-yes,,,set24,Cristina Messineo & Paola Cúneo & Agustina Paredes & Nicolás Brid & Ana Blanco
set25-DEM39_DEME39-2,set25-F,DEM39_DEME39-2,?,,,,set25,María Belén Carpio & Marcela Mendoza
set27-DEM39_DEME39-2,set27-F,DEM39_DEME39-2,?,,,,set27,Dineke Schokkin
set28-DEM39_DEME39-2,set28-F,DEM39_DEME39-2,Yes,DEM39_DEME39-2-yes,[See above],,set28,Eri Kashima & Dineke Schokkin
set29-DEM39_DEME39-2,set29-F,DEM39_DEME39-2,Yes,DEM39_DEME39-2-yes,"Young children are cared for by parents, especially mothers and mothers' sisters (who are considered mothers), other adults (most likely female), and older children. Researchers in northern Australia have noted the contemporary importance of the 'kid mob' – i.e. groups of children spending time together away from communal areas and from adult social activities – and this is assumed to have been the case pre-colonially also. Loakes et al (2013): ""In Indigenous Australian communities, older children not only play with and interact with younger children, but are also expected to take on some responsibility with respect to looking after them in the community. This means that for many older children, a large proportion of their daily interactions are likely to take place with other children"". Hamilton (1981), in her study of Burarra child-rearing practices, notes that children usually stay with caregivers for the first 18–24 months of life, but from ~2 are ""expected to adapt rapidly to new circumstances, to accept the peer group as the most significant force in its daily life, and to look to other children rather than mother or father for support and learning experiences"" (1981: 100). These peer groups then develop into the more structured 'kid mobs' for children 5-9. To an extent, these groups are determined by common language and kinship ties (1981: 103), and remain important for older kids and adolescents.",,set29,Jill Vaughan
set30-DEM39_DEME39-2,set30-F,DEM39_DEME39-2,Yes,DEM39_DEME39-2-yes,"There is no institutionalized context of practices of exchange, so looking after children in these contexts is probably the same as usual, that is, partaking in normal daily life in the Norwegian/Swedish society.",,set30,Richard Kowalik
set31-DEM39_DEME39-2,set31-F,DEM39_DEME39-2,?,,,,set31,Sonal Kulkarni-Joshi
set32-DEM39_DEME39-2,set32-F,DEM39_DEME39-2,?,,,,set32,Hannah Haynie
set33-DEM39_DEME39-2,set33-F,DEM39_DEME39-2,?,,,,set33,Anna Berge
set34-DEM39_DEME39-2,set34-F,DEM39_DEME39-2,?,,,,set34,Erika Sandman
set01-DEM39_DEME39-3,set01-F,DEM39_DEME39-3,?,,,,set01,Hank Nater
set02-DEM39_DEME39-3,set02-F,DEM39_DEME39-3,Yes,DEM39_DEME39-3-yes,[See above],,set02,Mathias Jenny
set03-DEM39_DEME39-3,set03-F,DEM39_DEME39-3,?,,,,set03,Yvonne Treis & Deginet Wotango Doyiso
set04-DEM39_DEME39-3,set04-F,DEM39_DEME39-3,?,,,,set04,Hannah Gibson & Maarten Mous
set05-DEM39_DEME39-3,set05-F,DEM39_DEME39-3,B,DEM39_DEME39-3-B,,,set05,Ellen Smith-Dennis
set06a-DEM39_DEME39-3,set06a-F,DEM39_DEME39-3,No,DEM39_DEME39-3-no,Parents always look after their children,,set06a,Joseph M Brincat
set07-DEM39_DEME39-3,set07-F,DEM39_DEME39-3,Yes,DEM39_DEME39-3-yes,,,set07,Admire Phiri
set08-DEM39_DEME39-3,set08-F,DEM39_DEME39-3,?,,,,set08,Ross Bowden
set09-DEM39_DEME39-3,set09-F,DEM39_DEME39-3,Yes,DEM39_DEME39-3-yes,,,set09,Lameen Souag
set10-DEM39_DEME39-3,set10-F,DEM39_DEME39-3,?,,,,set10,Anonymous
set11-DEM39_DEME39-3,set11-F,DEM39_DEME39-3,?,,,,set11,Alexander Cobbinah
set12-DEM39_DEME39-3,set12-F,DEM39_DEME39-3,Yes,DEM39_DEME39-3-yes,[See above],,set12,Saloumeh Gholami in cooperation with Mahîr Dogan
set13-DEM39_DEME39-3,set13-F,DEM39_DEME39-3,?,,,,set13,Jerry K. Jacka
set14-DEM39_DEME39-3,set14-F,DEM39_DEME39-3,Yes,DEM39_DEME39-3-yes,,,set14,Ana María Ospina Bozzi
set15-DEM39_DEME39-3,set15-F,DEM39_DEME39-3,?,,,,set15,Bruno Olsson
set16-DEM39_DEME39-3,set16-F,DEM39_DEME39-3,?,,,,set16,Katja Hannß
set17-DEM39_DEME39-3,set17-F,DEM39_DEME39-3,Yes,DEM39_DEME39-3-yes,,,set17,Rosnátaly Avelino
set18-DEM39_DEME39-3,set18-F,DEM39_DEME39-3,Yes,DEM39_DEME39-3-yes,,,set18,Ruth Singer
set19-DEM39_DEME39-3,set19-F,DEM39_DEME39-3,?,,,,set19,Francesca Moro & Yunus Sulistyono
set20-DEM39_DEME39-3,set20-F,DEM39_DEME39-3,?,,,,set20,Arun Ghosh
set21-DEM39_DEME39-3,set21-F,DEM39_DEME39-3,Yes,DEM39_DEME39-3-yes,,,set21,Georg Ziegelmeyer
set22-DEM39_DEME39-3,set22-F,DEM39_DEME39-3,?,,,,set22,Elizabeth Hall
set23-DEM39_DEME39-3,set23-F,DEM39_DEME39-3,?,,,,set23,Veronika Zikmundová & Kicengge (Chengzhi)
set24-DEM39_DEME39-3,set24-F,DEM39_DEME39-3,Yes,DEM39_DEME39-3-yes,,,set24,Cristina Messineo & Paola Cúneo & Agustina Paredes & Nicolás Brid & Ana Blanco
set25-DEM39_DEME39-3,set25-F,DEM39_DEME39-3,?,,,,set25,María Belén Carpio & Marcela Mendoza
set27-DEM39_DEME39-3,set27-F,DEM39_DEME39-3,?,,,,set27,Dineke Schokkin
set28-DEM39_DEME39-3,set28-F,DEM39_DEME39-3,Yes,DEM39_DEME39-3-yes,[See above],,set28,Eri Kashima & Dineke Schokkin
set29-DEM39_DEME39-3,set29-F,DEM39_DEME39-3,Yes,DEM39_DEME39-3-yes,"Young children are cared for by parents, especially mothers and mothers' sisters (who are considered mothers), other adults (most likely female), and older children. Researchers in northern Australia have noted the contemporary importance of the 'kid mob' – i.e. groups of children spending time together away from communal areas and from adult social activities – and this is assumed to have been the case pre-colonially also. Loakes et al (2013): ""In Indigenous Australian communities, older children not only play with and interact with younger children, but are also expected to take on some responsibility with respect to looking after them in the community. This means that for many older children, a large proportion of their daily interactions are likely to take place with other children"". Hamilton (1981), in her study of Burarra child-rearing practices, notes that children usually stay with caregivers for the first 18–24 months of life, but from ~2 are ""expected to adapt rapidly to new circumstances, to accept the peer group as the most significant force in its daily life, and to look to other children rather than mother or father for support and learning experiences"" (1981: 100). These peer groups then develop into the more structured 'kid mobs' for children 5-9. To an extent, these groups are determined by common language and kinship ties (1981: 103), and remain important for older kids and adolescents.",,set29,Jill Vaughan
set30-DEM39_DEME39-3,set30-F,DEM39_DEME39-3,No,DEM39_DEME39-3-no,"There is no institutionalized context of practices of exchange, so looking after children in these contexts is probably the same as usual, that is, partaking in normal daily life in the Norwegian/Swedish society.",,set30,Richard Kowalik
set31-DEM39_DEME39-3,set31-F,DEM39_DEME39-3,?,,,,set31,Sonal Kulkarni-Joshi
set32-DEM39_DEME39-3,set32-F,DEM39_DEME39-3,?,,,,set32,Hannah Haynie
set33-DEM39_DEME39-3,set33-F,DEM39_DEME39-3,?,,,,set33,Anna Berge
set34-DEM39_DEME39-3,set34-F,DEM39_DEME39-3,?,,,,set34,Erika Sandman
set01-DEM39_DEME39-4,set01-F,DEM39_DEME39-4,?,,,,set01,Hank Nater
set02-DEM39_DEME39-4,set02-F,DEM39_DEME39-4,Yes,DEM39_DEME39-4-yes,[See above],,set02,Mathias Jenny
set03-DEM39_DEME39-4,set03-F,DEM39_DEME39-4,?,,,,set03,Yvonne Treis & Deginet Wotango Doyiso
set04-DEM39_DEME39-4,set04-F,DEM39_DEME39-4,?,,,,set04,Hannah Gibson & Maarten Mous
set05-DEM39_DEME39-4,set05-F,DEM39_DEME39-4,B,DEM39_DEME39-4-B,,,set05,Ellen Smith-Dennis
set06a-DEM39_DEME39-4,set06a-F,DEM39_DEME39-4,No,DEM39_DEME39-4-no,Parents always look after their children,,set06a,Joseph M Brincat
set07-DEM39_DEME39-4,set07-F,DEM39_DEME39-4,No,DEM39_DEME39-4-no,,,set07,Admire Phiri
set08-DEM39_DEME39-4,set08-F,DEM39_DEME39-4,?,,,,set08,Ross Bowden
set09-DEM39_DEME39-4,set09-F,DEM39_DEME39-4,No,DEM39_DEME39-4-no,,,set09,Lameen Souag
set10-DEM39_DEME39-4,set10-F,DEM39_DEME39-4,?,,,,set10,Anonymous
set11-DEM39_DEME39-4,set11-F,DEM39_DEME39-4,?,,,,set11,Alexander Cobbinah
set12-DEM39_DEME39-4,set12-F,DEM39_DEME39-4,No,DEM39_DEME39-4-no,[See above],,set12,Saloumeh Gholami in cooperation with Mahîr Dogan
set13-DEM39_DEME39-4,set13-F,DEM39_DEME39-4,?,,,,set13,Jerry K. Jacka
set14-DEM39_DEME39-4,set14-F,DEM39_DEME39-4,No,DEM39_DEME39-4-no,,,set14,Ana María Ospina Bozzi
set15-DEM39_DEME39-4,set15-F,DEM39_DEME39-4,?,,,,set15,Bruno Olsson
set16-DEM39_DEME39-4,set16-F,DEM39_DEME39-4,?,,,,set16,Katja Hannß
set17-DEM39_DEME39-4,set17-F,DEM39_DEME39-4,No,DEM39_DEME39-4-no,,,set17,Rosnátaly Avelino
set18-DEM39_DEME39-4,set18-F,DEM39_DEME39-4,Yes,DEM39_DEME39-4-yes,,,set18,Ruth Singer
set19-DEM39_DEME39-4,set19-F,DEM39_DEME39-4,?,,,,set19,Francesca Moro & Yunus Sulistyono
set20-DEM39_DEME39-4,set20-F,DEM39_DEME39-4,?,,,,set20,Arun Ghosh
set21-DEM39_DEME39-4,set21-F,DEM39_DEME39-4,Yes,DEM39_DEME39-4-yes,,,set21,Georg Ziegelmeyer
set22-DEM39_DEME39-4,set22-F,DEM39_DEME39-4,?,,,,set22,Elizabeth Hall
set23-DEM39_DEME39-4,set23-F,DEM39_DEME39-4,?,,,,set23,Veronika Zikmundová & Kicengge (Chengzhi)
set24-DEM39_DEME39-4,set24-F,DEM39_DEME39-4,Yes,DEM39_DEME39-4-yes,,,set24,Cristina Messineo & Paola Cúneo & Agustina Paredes & Nicolás Brid & Ana Blanco
set25-DEM39_DEME39-4,set25-F,DEM39_DEME39-4,?,,,,set25,María Belén Carpio & Marcela Mendoza
set27-DEM39_DEME39-4,set27-F,DEM39_DEME39-4,?,,,,set27,Dineke Schokkin
set28-DEM39_DEME39-4,set28-F,DEM39_DEME39-4,No,DEM39_DEME39-4-no,[See above],,set28,Eri Kashima & Dineke Schokkin
set29-DEM39_DEME39-4,set29-F,DEM39_DEME39-4,Yes,DEM39_DEME39-4-yes,"Young children are cared for by parents, especially mothers and mothers' sisters (who are considered mothers), other adults (most likely female), and older children. Researchers in northern Australia have noted the contemporary importance of the 'kid mob' – i.e. groups of children spending time together away from communal areas and from adult social activities – and this is assumed to have been the case pre-colonially also. Loakes et al (2013): ""In Indigenous Australian communities, older children not only play with and interact with younger children, but are also expected to take on some responsibility with respect to looking after them in the community. This means that for many older children, a large proportion of their daily interactions are likely to take place with other children"". Hamilton (1981), in her study of Burarra child-rearing practices, notes that children usually stay with caregivers for the first 18–24 months of life, but from ~2 are ""expected to adapt rapidly to new circumstances, to accept the peer group as the most significant force in its daily life, and to look to other children rather than mother or father for support and learning experiences"" (1981: 100). These peer groups then develop into the more structured 'kid mobs' for children 5-9. To an extent, these groups are determined by common language and kinship ties (1981: 103), and remain important for older kids and adolescents.",,set29,Jill Vaughan
set30-DEM39_DEME39-4,set30-F,DEM39_DEME39-4,No,DEM39_DEME39-4-no,"There is no institutionalized context of practices of exchange, so looking after children in these contexts is probably the same as usual, that is, partaking in normal daily life in the Norwegian/Swedish society.",,set30,Richard Kowalik
set31-DEM39_DEME39-4,set31-F,DEM39_DEME39-4,?,,,,set31,Sonal Kulkarni-Joshi
set32-DEM39_DEME39-4,set32-F,DEM39_DEME39-4,?,,,,set32,Hannah Haynie
set33-DEM39_DEME39-4,set33-F,DEM39_DEME39-4,?,,,,set33,Anna Berge
set34-DEM39_DEME39-4,set34-F,DEM39_DEME39-4,?,,,,set34,Erika Sandman
set01-DEM40,set01-F,DEM40,Some people,DEM40-3,,,set01,Hank Nater
set02-DEM40,set02-F,DEM40,Few people,DEM40-4,"contact is restricted mostly to southern Myanmar (Mon and Kayin States, Tanintharyi Region), where perhaps a 5th of the Burmese population live; in other areas of Myanmar the Mon tend to be fully integrated, in many cases losing their original native langauge",,set02,Mathias Jenny
set03-DEM40,set03-F,DEM40,?,,,,set03,Yvonne Treis & Deginet Wotango Doyiso
set04-DEM40,set04-F,DEM40,?,,,,set04,Hannah Gibson & Maarten Mous
set05-DEM40,set05-F,DEM40,B,DEM40-B,,,set05,Ellen Smith-Dennis
set06a-DEM40,set06a-F,DEM40,Practically no one,DEM40-5,"A very low proportion; my impression is, about 1%.",,set06a,Joseph M Brincat
set07-DEM40,set07-F,DEM40,Almost everyone,DEM40-1,,,set07,Admire Phiri
set08-DEM40,set08-F,DEM40,Almost everyone,DEM40-1,,,set08,Ross Bowden
set09-DEM40,set09-F,DEM40,Almost everyone,DEM40-1,,,set09,Lameen Souag
set10-DEM40,set10-F,DEM40,?,,,,set10,Anonymous
set11-DEM40,set11-F,DEM40,?,,,,set11,Alexander Cobbinah
set12-DEM40,set12-F,DEM40,Many people,DEM40-2,,,set12,Saloumeh Gholami in cooperation with Mahîr Dogan
set13-DEM40,set13-F,DEM40,Few people,DEM40-4,,,set13,Jerry K. Jacka
set14-DEM40,set14-F,DEM40,Many people,DEM40-2,,,set14,Ana María Ospina Bozzi
set15-DEM40,set15-F,DEM40,?,,,,set15,Bruno Olsson
set16-DEM40,set16-F,DEM40,?,,,,set16,Katja Hannß
set17-DEM40,set17-F,DEM40,Some people,DEM40-3,,,set17,Rosnátaly Avelino
set18-DEM40,set18-F,DEM40,B,DEM40-B,The aim of coming together for ceremony is to foster social harmony between groups. They would usually be planned between groups who have friendly to neutral relations because these are needed for planning. But tensions between people or between specific families can still bubble up unexpectedly.,,set18,Ruth Singer
set19-DEM40,set19-F,DEM40,?,,,,set19,Francesca Moro & Yunus Sulistyono
set20-DEM40,set20-F,DEM40,?,,,,set20,Arun Ghosh
set21-DEM40,set21-F,DEM40,Almost everyone,DEM40-1,,,set21,Georg Ziegelmeyer
set22-DEM40,set22-F,DEM40,?,,,,set22,Elizabeth Hall
set23-DEM40,set23-F,DEM40,?,,,,set23,Veronika Zikmundová & Kicengge (Chengzhi)
set24-DEM40,set24-F,DEM40,Many people,DEM40-2,,,set24,Cristina Messineo & Paola Cúneo & Agustina Paredes & Nicolás Brid & Ana Blanco
set25-DEM40,set25-F,DEM40,Many people,DEM40-2,,,set25,María Belén Carpio & Marcela Mendoza
set27-DEM40,set27-F,DEM40,?,,,,set27,Dineke Schokkin
set28-DEM40,set28-F,DEM40,Some people,DEM40-3,"This really depends on the personal connections that exist at any given time - some Nen speakers have personal connections with Idi speakers, while others seem to have very little.",,set28,Eri Kashima & Dineke Schokkin
set29-DEM40,set29-F,DEM40,Almost everyone,DEM40-1,"It is my understanding that pre-colonially more or less all Burarra people would have had some opportunity for contact, both with larger YM groups and through intermarriage patterns with various subgroups.",,set29,Jill Vaughan
set30-DEM40,set30-F,DEM40,Almost everyone,DEM40-1,,,set30,Richard Kowalik
set31-DEM40,set31-F,DEM40,?,,,,set31,Sonal Kulkarni-Joshi
set32-DEM40,set32-F,DEM40,?,,,,set32,Hannah Haynie
set33-DEM40,set33-F,DEM40,?,,,,set33,Anna Berge
set34-DEM40,set34-F,DEM40,?,,,,set34,Erika Sandman
set01-DEM41,set01-F,DEM41,Yes,DEM41-yes,"Most recent and densest contacts were with Oowekyala and Haisla, less so with Heiltsuk",,set01,Hank Nater
set02-DEM41,set02-F,DEM41,No,DEM41-no,,,set02,Mathias Jenny
set03-DEM41,set03-F,DEM41,?,,,,set03,Yvonne Treis & Deginet Wotango Doyiso
set04-DEM41,set04-F,DEM41,?,,,,set04,Hannah Gibson & Maarten Mous
set05-DEM41,set05-F,DEM41,B,DEM41-B,,,set05,Ellen Smith-Dennis
set06a-DEM41,set06a-F,DEM41,No,DEM41-no,"Apparently, family ties are stronger than class distinction.",,set06a,Joseph M Brincat
set07-DEM41,set07-F,DEM41,No,DEM41-no,,,set07,Admire Phiri
set08-DEM41,set08-F,DEM41,Yes,DEM41-yes,,,set08,Ross Bowden
set09-DEM41,set09-F,DEM41,Yes,DEM41-yes,Almost all exchange events are gender-segregated to some extent. [Responding focusing on the following social group/s:] Adult men in external employment (probably),,set09,Lameen Souag
set10-DEM41,set10-F,DEM41,?,,,,set10,Anonymous
set11-DEM41,set11-F,DEM41,?,,,,set11,Alexander Cobbinah
set12-DEM41,set12-F,DEM41,Yes,DEM41-yes,,,set12,Saloumeh Gholami in cooperation with Mahîr Dogan
set13-DEM41,set13-F,DEM41,Yes,DEM41-yes,Men,,set13,Jerry K. Jacka
set14-DEM41,set14-F,DEM41,Yes,DEM41-yes,"Macuna and Yuhup men socialize more than women. But Macuna and Yuhup women do have exchanges while working together in the fields or in manioc processing. [Responding focusing on the following social group/s:] Men
Young and adult women",,set14,Ana María Ospina Bozzi
set15-DEM41,set15-F,DEM41,?,,,,set15,Bruno Olsson
set16-DEM41,set16-F,DEM41,?,,,,set16,Katja Hannß
set17-DEM41,set17-F,DEM41,Yes,DEM41-yes,"Class: Mid-class or lower-class Mexican Spanish people socialize with other mid-class or lower-class Toluca (Temoaya) Otomi people, but upper-class Mexican Spanish people do not.",,set17,Rosnátaly Avelino
set18-DEM41,set18-F,DEM41,Yes,DEM41-yes,"Elders people have a different role, and age is a factor in being recognised as an Elder. Gender is also relevant to the roles available in ceremonies. Some kinds of ceremonies involve men and women holding separate ceremonies some distance apart. [Responding focusing on the following social group/s:] Men and women who are recognised Elders, i.e. prominent political leaders and/or people who are recognised as having authority in certain kinds of spiritual knowledge, including musicians and dancers.",,set18,Ruth Singer
set19-DEM41,set19-F,DEM41,?,,,,set19,Francesca Moro & Yunus Sulistyono
set20-DEM41,set20-F,DEM41,?,,,,set20,Arun Ghosh
set21-DEM41,set21-F,DEM41,No,DEM41-no,,,set21,Georg Ziegelmeyer
set22-DEM41,set22-F,DEM41,?,,,,set22,Elizabeth Hall
set23-DEM41,set23-F,DEM41,?,,,,set23,Veronika Zikmundová & Kicengge (Chengzhi)
set24-DEM41,set24-F,DEM41,No,DEM41-no,,,set24,Cristina Messineo & Paola Cúneo & Agustina Paredes & Nicolás Brid & Ana Blanco
set25-DEM41,set25-F,DEM41,No,DEM41-no,,,set25,María Belén Carpio & Marcela Mendoza
set27-DEM41,set27-F,DEM41,?,,,,set27,Dineke Schokkin
set28-DEM41,set28-F,DEM41,Yes,DEM41-yes,"My hunch is that Men would exchange with men, and women with women. Much like for Trade. Initiated Nen men. [Answering for social group] Initiated Nen men",,set28,Eri Kashima & Dineke Schokkin
set29-DEM41,set29-F,DEM41,No,DEM41-no,"Everyone participates in social exchange, albeit with somewhat distinct roles as detailed above",,set29,Jill Vaughan
set30-DEM41,set30-F,DEM41,No,DEM41-no,,,set30,Richard Kowalik
