Table 1,,,,,,,,,,,,,
Dom,QID,CID,Wording,DataType,Answer1,Answer2,Answer3,Answer4,Answer5,Answer6,Answer7,Answer8,Answer_Default
DKN,DKN97,E4,"34. What type of data informed your answers to the questions in the domain of knowledge, overall? QID: DKN97",Type,Impressions from my own fieldwork with a related community,Reports from language consultants,Published or ongoing research project of my own on topics covered in this questionnaire,Published material by linguists,Published materials by researchers in other fields,Other,,,
DKN,DKN98,E5,35. How certain are you in your responses for the domain of knowledge? QID: DKN98,Scalar,Very certain,Certain,Somewhat certain,Uncertain,Very uncertain,,,,
DKN,DKN99,E6,36. List any comments or notes that you feel are relevant to this section of the questionnaire. QID: DKN99,Comment,,,,,,,,,
DKN,DKN01,P4,"4. What other languages, if any, are spoken in the knowledge domain? QID: DKN01",Comment,,,,,,,,,
DKN,DKN02,D1,5. The most influential form of knowledge in this contact scenario is: QID: DKN02,Types,Global,Local,,,,,,,Answer_0
DKN,DKN04,D4,6. The relationship between [q2o1answer] people and [q2o2answer] people in the knowledge domain can typically be characterised as: QID: DKN04,Types,"[q2o1answer] people are masters, [q2o2answer] are novices","[q2o2answer] people are masters, [q2o1answer] are novices",None of the above,,,,,,Answer_0
DKN,DKN05,D6,7. Where does knowledge transmission between [q2o1answer] people and [q2o2answer] people typically take place? QID: DKN05,Types,At places which belong to the [q2o1answer],At places which belong to the [q2o2answer],At places which belong to some other group,This is highly contextual,,,,,Answer_0
DKN,DKN28,D11,8. How much influence can the [q2o1answer] people exert over the decision of what constitutes legitimate knowledge in this domain? QID: DKN28,Scalar,Influence is practically always exerted,Influence is often exerted,Influence is somewhat exerted,Influence is exerted very little,Influence is practically never exerted,,,,Answer5
DKN,DKN06,D9,9. Are there any speech styles used in the knowledge domain? QID: DKN06,Binary-YesNo,Yes,No,,,,,,,No
DLB,DLB0aE,P2End,[Not asked in original],Value,,,,,,,,,
DLB,DLB0bE,P3End,[Not asked in original],Value,,,,,,,,,
DLB,DLB00,P1,1. Has work ever been a relevant domain of contact between [q2o1answer] and [q2o2answer]? QID: DLB00,Binary-YesNo,Yes,No,,,,,,,
DLB,DLB31,D12,"10. How often are these speech styles typically used during work, in comparison with unmonitored speech? QID: DLB06",Scalar,Very often,Often,As much as unmonitored speech,Rarely,Very rarely,,,,Answer5
DLB,DLB03,D3,11. Involvement in work,Variable-Binaryx9,Yes,No,,,,,,,NoNoNoNoNoNoNoNoNoNo
DLB,DLB30,D10,12. Do [q2o1answer] people experience work differently depending on social group? QID:DKN07,Binary-YesNo,Yes,No,,,,,,,No
DLB,DLB07,S1,13. How often do [q2o1answer] people work with [q2o2answer] people? QID:DLB07,Scalar,Very often,Often,Sometimes,Rarely,Very rarely,,,,Answer_9
DLB,DLB09,S3,14. How many people are typically involved in interactions between [q2o1answer] people and [q2o2answer] people when working? QID: DLB09,Scalar,Interactions are practically always under 5 people.,Interactions are often under 5 people,Interactions are sometimes under 5 people,Interactions are rarely under 5 people,Interactions are practically never under 5 people,,,,Answer1
DLB,DLB10,S4,15. How physically proximate to each other are people when working? QID: DLB10,Scalar,Very proximate to each other,Proximate to each other,Somewhat proximate to each other,Far from each other,Very far from each other,,,,Answer_9
DLB,DLB11,S5,16. How would you rate the overall relationship between [q2o1answer] and [q2o2answer] people involved in work? QID: DLB11,Scalar,Friendly,Somewhat friendly,Neutral,Somewhat hostile,Hostile,,,,Answer3
DLB,DLB27,S6,"17. What is the proportion of total [q2o1answer] people who have opportunities for contact with [q2o2answer] people, in work? QID: DLB27",Scalar,Almost everyone,Many people,Some people,Few people,Almost no one,,,,Answer5
DLB,DLB28,S7,"18. What is the proportion of total [q2o2answer] people who have opportunities for contact with [q2o1answer] people, in work? QID: DLB28",Scalar,Almost everyone,Many people,Some people,A few people,Almost no one,,,,Answer5
DLB,DLB22,BA,19. What is the overall attitude that [q2o1answer] people have towards [q2o2answer] people in work? QID: DLB22,Scalar,Very positive,Positive,Neutral,Negative,Very negative,,,,Answer3
DLB,DLB0aB,P2Begin,2. How long have [q2o1answer] people and [q2o2answer] people worked together for? QID: DLB0a,Value,,,,,,,,,
DLB,DLB23,BH,"20. How do [q2o1answer] people view themselves overall in relation to [q2o2answer] people, within the context of work? QID: DLB23",Scalar,[q2o1answer] see themselves as very superior to [q2o2answer].,[q2o1answer] see themselves as superior to [q2o2answer].,[q2o1answer] see themselves as neither superior nor inferior to [q2o2answer].,[q2o1answer] see themselves as inferior to [q2o2answer].,[q2o1answer] see themselves as very inferior to [q2o2answer].,,,,Answer3
DLB,DLB25,BI,21. What language do [q2o1answer] people expect to be used when working with [q2o2answer] people? QID: DLB25,Types,The [q2o1answer] language,The [q2o2answer] language,Some other language,This is highly contextual,,,,,Answer_0
DLB,DLB32,O1,22. What language do [q2o1answer] people typically speak when working with [q2o2answer] people? QID: DLB25,Types,The [q2o1answer] language,The [q2o2answer] language,Some other language,This is highly contextual,,,,,Answer_0
DLB,DLB13,O2,23. Do [q2o1answer] people typically simplify their language when working with [q2o2answer] people? QID: DLB13,Types,Yes,No,This is highly contextual,,,,,,Answer_0
DLB,DLB14,O3,"24. Typically in work, how fluently do [q2o1answer] people speak the [q2o2answer] language? QID: DLB13",Scalar,Very fluently,Fluently,Somewhat fluently,A little fluently,Not fluently at all,,,,Answer_9
DLB,DLB15,I1,25. What language do [q2o2answer] people typically speak when working with [q2o1answer] people? QID: DLB15,Types,The [q2o1answer] language,The [q2o2answer] language,Some other language,This is highly contextual,,,,,Answer_0
DLB,DLB16,I2,"26. Typically in work, how well do [q2o1answer] people understand the [q2o2answer] language? QID: DLB16",Scalar,Very well,Well,Somewhat,Poorly,Very poorly,,,,Answer_9
DLB,DLB17,T1,27. How much do [q2o1answer] children participate in work? QID:DLB17,Scalar,They practically always participate,They participate a lot,They participate somewhat,They participate a little,They practically never participate,,,,Answer5
DLB,DLB21,T6,28. Looking after children during work. QID: DLB21,Variable-Binaryx4,Yes,No,,,,,,,NoNoNoNo
DLB,DLB26,T11,"29. Typically, how much supervision do adults provide to children in work? QID: DLB26",Scalar,Constant supervision,A lot of supervision,Some supervision,Little supervision,No supervision at all,,,,Answer5
DLB,DLB0bB,P3Begin,3. What is the time frame when the largest number of people had the most opportunities for interaction in the labour domain? QID: DLB0bComments,Value,,,,,,,,,
DLB,DLB18,T2,30. What language do [q2o2answer] adults typically speak to a [q2o1answer] children in work? QID: DLB18,Types,The [q2o1answer] language,The [q2o2answer] language,Some other language,This is highly contextual,,,,,Answer_0
DLB,DLB19,T4,"31. Typically, what language do [q2o1answer] children from four/five year of age prefer to speak with [q2o2answer] adults in work? QID: DLB19",Types,The [q2o1answer] language,The [q2o2answer] language,Some other language,This is highly contextual,,,,,Answer_0
DLB,DLB20,T5,"32. Typically, what language would a [q2o1answer] child speak to [q2o2answer] children in work? QID:DLB20",Types,The [q2o1answer] language,The [q2o2answer] language,Some other language,This is highly contextual,,,,,Answer_0
DLB,DLB96,E1,"33. List any other groups that the [q2o1answer] people worked with in the past. List any other group in so far as you believe they had linguistic consequences for the [q2o1answer] language. Where possible, please also give an indication of when this interaction happened. QID: DLB96",Comment,,,,,,,,,
DLB,DLB97,E4,"34. What type of data informed your answers to the questions in the domain of labour, overall? QID: DLB97",Type,Impressions from my own fieldwork with a related community,Reports from language consultants,Published or ongoing research project of my own on topics covered in this questionnaire,Published material by linguists,Published materials by researchers in other fields,Other,,,
DLB,DLB98,E5,35. How certain are you in your responses for the domain of labour? QID: DLB98,Scalar,Very certain,Certain,Somewhat certain,Uncertain,Very uncertain,,,,
DLB,DLB99,E6,36. List any comments or notes that you feel are relevant to this section of the questionnaire. QID: DLB99,Comment,,,,,,,,,
DLB,DLB01,P4,"4. What other languages, if any, are spoken in the labour domain? QID: DLB01",Comment,,,,,,,,,
DLB,DLB02,D1,5. How commonly are [q2o1answer] people and [q2o2answer] people involved in public modes of production? QID: DLB02,Types,Very commonly,Commonly,Somewhat commonly,Uncommonly,Very uncommonly,,,,Answer_5
DLB,DLB04,D4,6. Is there hierarchy involved in work? QID: DLB04,Binary-YesNo,Yes,No,,,,,,,No
DLB,DLB05,D6,7. Where do [q2o1answer] people and [q2o2answer] people typically work together? QID: DLB05,Types,At places which belong to the [q2o1answer],At places which belong to the [q2o2answer],At places which belong to some other group,This is highly contextual,,,,,Answer_0
DLB,DLB29,D11,8. How much influence can the [q2o1answer] exert over the terms of work? QID: DLB29,Scalar,Influence is practically always exerted,Influence is often exerted,Influence is somewhat exerted,Influence is exerted very little,Influence is practically never exerted,,,,Answer5
DLB,DLB06,D9,9. Are there any speech styles used during work? QID: DLB06,Binary-YesNo,Yes,No,,,,,,,No
DLC,DLC0aE,P2End,[Not asked in original],Value,,,,,,,,,
DLC,DLC0bE,P3End,[Not asked in original],Value,,,,,,,,,
DLC,DLC00,P1,1. Has the local community ever been a relevant domain of contact between [q2o1answer] and [q2o2answer]? QID: DLC00,Binary-YesNo,Yes,No,,,,,,,
DLC,DLC16,S1,10. How often do [q2o1answer] people interact with [q2o2answer] people in the local community? QID:DLC16,Scalar,Very often,Often,Sometimes,Rarely,Very rarely,,,,Answer_9
DLC,DLC15,S3,11. How many people are typically involved in interactions between [q2o1answer] people and [q2o2answer] people in the local community? QID: DLC15,Scalar,Interactions are practically always under 5 people.,Interactions are often under 5 people,Interactions are sometimes under 5 people,Interactions are rarely under 5 people,Interactions are practically never under 5 people,,,,Answer1
DLC,DLC05,S4,12. How physically proximate to each other are people in the local community? QID: DLC05,Scalar,Very proximate to each other,Proximate to each other,Somewhat proximate to each other,Far from each other,Very far from each other,,,,Answer_9
DLC,DLC14,S5,13. How would you rate the overall relationship between [q2o1answer] and [q2o2answer] people in the local community? QID: DLC14,Scalar,Friendly,Somewhat friendly,Neutral,Somewhat hostile,Hostile,,,,Answer3
DLC,DLC32,S6,"14. What is the proportion of total [q2o1answer] people who have opportunities for contact with [q2o2answer] people, in the form of local communities? QID: DLC32",Scalar,Almost everyone,Many people,Some people,A few people,Almost no one,,,,Answer5
DLC,DLC33,S7,"15. What is the proportion of total [q2o2answer] people who have opportunities for contact with [q2o1answer] people, in the form of local communities? QID: DLC33",Scalar,Almost everyone,Many people,Some people,Few people,Almost no one,,,,Answer5
DLC,DLC18,BA,16. What is the overall attitude that [q2o1answer] people have towards [q2o2answer] people in the local community? QID: DLC18,Scalar,Very positive,Positive,Neutral,Negative,Very negative,,,,Answer3
DLC,DLC19,BH,"17. How do [q2o1answer] people view themselves overall in relation to [q2o2answer] people, in the context of the local community? QID: DLC19",Scalar,[q2o1answer] see themselves as neither superior nor inferior to [q2o2answer].,[q2o1answer] see themselves as neither superior nor inferior to [q2o2answer].,[q2o1answer] see themselves as neither superior nor inferior to [q2o2answer].,[q2o1answer] see themselves as neither superior nor inferior to [q2o2answer].,[q2o1answer] see themselves as neither superior nor inferior to [q2o2answer].,,,,Answer3
DLC,DLC04,BI,18. What language do [q2o1answer] people expect to be used with [q2o2answer] people in the local community? QID: DLC04,Types,The [q2o1answer] language,The [q2o2answer] language,Some other language,This is highly contextual,,,,,Answer_0
DLC,DLC11,O1,19. What language do [q2o1answer] people typically speak with [q2o2answer] people in the local community? QID: DLC11,Types,The [q2o1answer] language,The [q2o2answer] language,Some other language,This is highly contextual,,,,,Answer_0
DLC,DLC0aB,P2Begin,2. How long have [q2o1answer] and [q2o2answer] people been in contact in the local community? QID: DLC0aComments,Value,,,,,,,,,
DLC,DLC12,O2,20. Do [q2o1answer] people typically simplify their language when speaking with [q2o2answer] people in the local community? QID: DLC12,Types,Yes,No,This is highly contextual,,,,,,Answer_0
DLC,DLC13,O3,"21. Typically in the local community, how fluently do [q2o1answer] people speak the [q2o2answer] language? QID: DLC13",Scalar,Very fluently,Fluently,Somewhat fluently,A little fluently,Not fluently at all,,,,Answer_9
DLC,DLC09,I1,22. What language do [q2o2answer] people typically speak with [q2o1answer] people in the local community? QID: DLC09,Types,The [q2o1answer] language,The [q2o2answer] language,Some other language,This is highly contextual,,,,,Answer_0
DLC,DLC10,I2,"23. Typically in the local community, how well do [q2o1answer] people understand the [q2o2answer] language? QID: DLC10",Scalar,Very well,Well,Somewhat,Poorly,Very poorly,,,,Answer_9
DLC,DLC31,T1,24. How much do [q2o1answer] children participate in the activities of the local community? QID:DLC31,Scalar,They practically always participate,They participate a lot,They participate somewhat,They participate a little,They practically never participate,,,,Answer5
DLC,DLC03,T6,25. Looking after children in the local community. QID: DLC03,Variable-Binaryx4,Yes,No,,,,,,,NoNoNoNo
DLC,DLC20,T11,"26. Typically in the local community, how much supervision do adults provide to children’s own activities, such as playing? QID: DLC20",Scalar,Constant supervision,A lot of supervision,Some supervision,Little supervision,No supervision at all,,,,Answer5
DLC,DLC21,T2,27. What language do [q2o2answer] adults typically speak to a [q2o1answer] children? QID: DLC21,Types,The [q2o1answer] language,The [q2o2answer] language,Some other language,This is highly contextual,,,,,Answer_0
DLC,DLC22,T4,"28. Typically, what language do [q2o1answer] children from four/five year of age prefer to speak with [q2o2answer] adults? QID: DLC22",Types,The [q2o1answer] language,The [q2o2answer] language,Some other language,This is highly contextual,,,,,Answer_0
DLC,DLC23,T5,"29. Typically, what language would a [q2o1answer] child speak to [q2o2answer] children in the local community? QID:DLC23",Types,The [q2o1answer] language,The [q2o2answer] language,Some other language,This is highly contextual,,,,,Answer_0
DLC,DLC0bB,P3Begin,3. What’s the time frame of densest contact between [q2o1answer] and [q2o2answer] as far as family formation is concerned? QID: DFK0b,Value,,,,,,,,,
DLC,DLC96,E1,"30. List any other groups that the [q2o1answer] formed local communities with in the past, in so far as you believe this had linguistic consequences for the [q2o1answer] language. Where possible, please also give an indication of when this happened. QID: DLC96",Comment,,,,,,,,,
DLC,DLC97,E4,"31. What type of data informed your answers to the questions in the domain of local community, overall? QID: DLC97",Type,Impressions from my own fieldwork with a related community,Reports from language consultants,Published or ongoing research project of my own on topics covered in this questionnaire,Published material by linguists,Published materials by researchers in other fields,Other,,,
DLC,DLC98,E5,32. How certain are you in your responses for the domain of local community? QID: DLC98,Scalar,Very certain,Certain,Somewhat certain,Uncertain,Very uncertain,,,,
DLC,DLC99,E6,33. List any comments or notes that you feel are relevant to this section of the questionnaire. QID: DLC99,Comment,,,,,,,,,
DLC,DLC01,P4,"4. What other languages, if any, are spoken in the local community? QID: DLC01",Comment,,,,,,,,,
DLC,DLC02,D1,5. Choose one of the following where [q2o1answer] people are most likely to speak in an unmonitored way. QID: DLC02,Types,Nuclear Family,Band,Neighbourhood or village,Town or city,Other,,,,Answer_0
DLC,DLC28,D6,6. Where do [q2o1answer] and [q2o2answer] people typically meet up in the local community? QID: DLC28,Types,At places which belong to the [q2o1answer],At places which belong to the [q2o2answer],At places which belong to some other group,This is highly contextual,,,,,Answer_0
DLC,DLC27,D11,7. How much influence can the [q2o1answer] exert over [q2o2answer] in the activities of the local community? QID: DLC27,Scalar,Influence is practically always exerted,Influence is often exerted,Influence is somewhat exerted,Influence is exerted very little,Influence is practically never exerted,,,,Answer5
DLC,DLC25,D3,8. Involvement in the Local Community. QID:DLC25,Variable-Binaryx9,Yes,No,,,,,,,NoNoNoNoNoNoNoNoNoNo
DLC,DLC29,D10,9. Do [q2o1answer] people experience the local community differently depending on social group? QID:DLC29,Binary-YesNo,Yes,No,,,,,,,No
DTR,DTR0aE,P2End,[Not asked in original],Value,,,,,,,,,
DTR,DTR0bE,P3End,[Not asked in original],Value,,,,,,,,,
DTR,DTR00,P1,1. Has trade ever been a relevant domain of contact between [q2o1answer] and [q2o2answer]? QID: DTR00,Binary-YesNo,Yes,No,,,,,,,
DTR,DTR35,D12,"10. How often are these speech styles typically used in trade, in comparison with unmonitored speech? QID: DTR28",Scalar,Always,Often,Sometimes,Rarely,Very rarely,,,,Answer5
DTR,DTR03,D3,11. Involvement in trade. QID:DTR03,Variable-Binaryx9,Yes,No,,,,,,,NoNoNoNoNoNoNoNoNoNo
DTR,DTR32,D10,12. Do [q2o1answer] people experience trade differently depending on social group? QID:DTR32,Binary-YesNo,Yes,No,,,,,,,No
DTR,DTR14,S1,13. How often do [q2o1answer] people trade with [q2o2answer] people? QID:DTR14,Scalar,Very often,Often,Sometimes,Rarely,Very rarely,,,,Answer_9
DTR,DTR22,S3,14. How many people are typically involved in interactions between [q2o1answer] people and [q2o2answer] people when trading? QID: DTR22,Scalar,Interactions are practically always under 5 people.,Interactions are often under 5 people,Interactions are sometimes under 5 people,Interactions are rarely under 5 people,Interactions are practically never under 5 people,,,,Answer1
DTR,DTR36,S4,15. How physically proximate to each other are people involved in trade? QID: DTR28,Scalar,Very proximate to each other,Proximate to each other,Somewhat proximate to each other,Far from each other,Very far from each other,,,,Answer_9
DTR,DTR23,S5,16. How would you rate the overall relationship between [q2o1answer] and [q2o2answer] people in trade? QID: DTR23,Scalar,Friendly,Somewhat friendly,Neutral,Somewhat hostile,Hostile,,,,Answer3
DTR,DTR33,S6,17. What is the proportion of total [q2o1answer] people who have opportunities for contact with [q2o2answer] people in trade? QID: DTR33,Scalar,Almost everyone,Many people,Some people,Few people,Almost no one,,,,Answer5
DTR,DTR34,S7,18. What is the proportion of total [q2o2answer] people who have opportunities for contact with [q2o1answer] people in trade? QID: DTR34,Scalar,Almost everyone,Many people,Some people,Few people,Almost no one,,,,Answer5
DTR,DTR16,BA,19. What is the overall attitude that [q2o1answer] people have towards [q2o2answer] people in trade? QID: DTR16,Scalar,Very positive,Positive,Neutral,Negative,Very negative,,,,Answer3
DTR,DTR0aB,P2Begin,2. How long have [q2o1answer] and [q2o2answer] people traded for? QID: DTR0a,Value,,,,,,,,,
DTR,DTR29,BH,"20. How do [q2o1answer] people view themselves overall in relation to [q2o2answer] people, within the context of trade? QID: DTR29",Scalar,[q2o1answer] see themselves as very superior to [q2o2answer].,[q2o1answer] see themselves as superior to [q2o2answer].,[q2o1answer] see themselves as neither superior nor inferior to [q2o2answer].,[q2o1answer] see themselves as inferior to [q2o2answer].,[q2o1answer] see themselves as very inferior to [q2o2answer].,,,,Answer3
DTR,DTR08,BI,21. What language do [q2o1answer] people expect to be used when trading with [q2o2answer] people? QID: DTR08,Types,The [q2o1answer] language,The [q2o2answer] language,Some other language,This is highly contextual,,,,,Answer_0
DTR,DTR11,O1,22. What language do [q2o1answer] people typically speak when trading with [q2o2answer] people? QID: DTR11,Types,The [q2o1answer] language,The [q2o2answer] language,Some other language,This is highly contextual,,,,,Answer_0
DTR,DTR12,O2,23. Do [q2o1answer] people typically simplify their language when speaking with [q2o2answer] people during trade? QID: DTR12,Types,Yes,No,This is highly contextual,,,,,,Answer_0
DTR,DTR13,O3,"24. Typically in trade, how fluently do [q2o1answer] people speak the [q2o2answer] language? QID: DTR13",Scalar,Very fluently,Fluently,Somewhat fluently,A little fluently,Not fluently at all,,,,Answer_9
DTR,DTR09,I1,25. What language do [q2o2answer] people typically speak when trading with the [q2o1answer]? QID: DTR09,Types,The [q2o1answer] language,The [q2o2answer] language,Some other language,This is highly contextual,,,,,Answer_0
DTR,DTR10,I2,"26. Typically in trade, how well do [q2o1answer] people understand the [q2o2answer] language? QID: DTR10",Scalar,Very well,Well,Somewhat,Poorly,Very poorly,,,,Answer_9
DTR,DTR18,T1,27. How much do [q2o1answer] children participate in trade? QID:DTR18,Scalar,They practically always participate,They participate a lot,They participate somewhat,They participate a little,They practically never participate,,,,Answer5
DTR,DTR27,T6,28. Looking after children during trade. QID: DTR27,Variable-Binaryx4,Yes,No,,,,,,,NoNoNoNo
DTR,DTR31,T11,"29. Typically, how much supervision do adults provide to children in trade? QID: DTR31",Scalar,Constant supervision,A lot of supervision,Some supervision,Little supervision,No supervision at all,,,,Answer5
DTR,DTR0bB,P3Begin,3. What is the time frame when the largest number of people had the most opportunities for interaction in trade? QID: DTR0bComments,Value,,,,,,,,,
DTR,DTR19,T2,30. What language do [q2o2answer] adults typically speak to a [q2o1answer] children in trade? QID: DTR30,Types,The [q2o1answer] language,The [q2o2answer] language,Some other language,This is highly contextual,,,,,Answer_0
DTR,DTR20,T4,"31. Typically, what language do [q2o1answer] children from four/five year of age prefer to speak with [q2o2answer] adults? QID: DTR20",Types,The [q2o1answer] language,The [q2o2answer] language,Some other language,This is highly contextual,,,,,Answer_0
DTR,DTR37,T5,"32. Typically, what language would a [q2o1answer] child speak to [q2o2answer] children in trade? QID: DTR30",Types,The [q2o1answer] language,The [q2o2answer] language,Some other language,This is highly contextual,,,,,Answer_0
DTR,DTR96,E1,"33. List any other groups that the [q2o1answer] traded with in the past, in so far as you believe this had linguistic consequences for the [q2o1answer] language. Where possible, please also give an indication of when this happened. QID: DTR96",Comment,,,,,,,,,
DTR,DTR97,E4,"34. What type of data informed your answers to the questions in the domain of trade, overall? QID: DTR97",Type,Impressions from my own fieldwork with a related community,Reports from language consultants,Published or ongoing research project of my own on topics covered in this questionnaire,Published material by linguists,Published materials by researchers in other fields,Other,,,
DTR,DTR98,E5,35. How certain are you in your responses for the domain of local community? QID: DLC98,Scalar,Very certain,Certain,Somewhat certain,Uncertain,Very uncertain,,,,
DTR,DTR99,E6,36. List any comments or notes that you feel are relevant to this section of the questionnaire. QID: DTR99,Comment,,,,,,,,,
DTR,DTR01,P4,"4. What other languages, if any, are spoken in trade? QID: DTR01",Comment,,,,,,,,,
DTR,DTR02,D1,5. Traded good types. QID: DTR02. Do [q2o1answer] people trade raw materials and primary produce to [q2o2answer] people? Do [q2o1answer] people trade luxury items to [q2o2answer] people? Do [q2o1answer] people trade manufactured goods to [q2o2answer] people? Do [q2o2answer] people trade raw material and primary produce to [q2o1answer] people? Do [q2o2answer] people trade luxury items to [q2o1answer] people? Do [q2o2answer] people trade manufactured goods to [q2o1answer] people?,Variable-Binaryx6,Yes,No,,,,,,,NoNoNoNoNoNo
DTR,DTR24,D4,"6. Typically when trading with [q2o2answer] people, the [q2o1answer] people will: QID: DTR24",Types,Use money,Exchange objects,This is contextual,,,,,,Answer_0
DTR,DTR06,D6,7. Where does trade between [q2o1answer] and [q2o2answer] people typically take place? QID:DTR06,Types,At places which belong to the [q2o1answer],At places which belong to the [q2o2answer],At places which belong to some other group,This is highly contextual,,,,,Answer_0
DTR,DTR17,D11,8. How much influence can the [q2o1answer] exert over the [q2o2answer] in terms of trade? QID: DTR17,Scalar,Influence is practically always exerted,Influence is often exerted,Influence is somewhat exerted,Influence is exerted very little,Influence is practically never exerted,,,,Answer5
DTR,DTR28,D9,9. Are there any speech styles used in trade? QID: DTR28,Binary-YesNo,Yes,No,,,,,,,No
OV,OT1End,OT1End,[Not asked in original],Value,,,,,,,,,
OV,OT2End,OT2End,[Not asked in original],Value,,,,,,,,,
OV,O10,O10,[q2o1answer] peoples’ language loyalty towards [q2o1answer] can be characterised as::,Scalar,Very High,High,Neither Low nor High,Low,Very Low,,,,
OV,OT1Begin,OT1Begin,1. How long have [q2o1answer] and [q2o2answer] people been in contact overall?,Value,,,,,,,,,
OV,OD1,OD1,1. What is the total number of native-like speakers of [q2o1answer]?,Types,10-99 speakers,100-999 speakers,"1,000-9,999 speakers","10,000-99,999 speakers","100,000-999,999 speakers","1,000,000-9,999,999 speakers","10,000,000-99,999,999 speakers","100,000,000-999,999,999 speakers",
OV,OI6,OI6,"10. What are the [q2o1answer] speakers' attitudes towards linguistic transfers from [q2o2answer], such as lexical or grammatical borrowing? QID: OI6:",Scalar,Very positive,Positive,Neither positive nor negative,Negative,Very negative,,,,
OV,OI7,OI7,"11. What are the [q2o1answer] speakers' general attitudes towards linguistic transfer, such as lexical or grammatical borrowing, from any other language than [q2o2answer]? QID: OI7:",Scalar,Very positive,Positive,Neither positive nor negative,Negative,Very negative,,,,
OV,OI9,OI9,12. What are the [q2o1answer] speakers' attitudes towards lectal differences within [q2o1answer]? QID: OI9:,Scalar,Very positive,Positive,Neutral,Negative,Very negative,,,,
OV,OI8,OI8,13. How significant is language as part of group identity for the speakers of [q2o1answer]? QID: OI8:,Scalar,Very significant,Significant,Neither significant nor insignificant,Insignificant,Very insignificant,,,,
OV,OB1,OB1,14. There is an emic conception of [q2o1answer] as “a language” or some other categorical or objective thing?,Binary-YesNo,Yes,No,,,,,,,No
OV,OL3,OL3,15. Do the [q2o1answer] speaking people use some orthography in writing their language? QID: OL3:,Types,"Yes, in a non-standardised way","Yes, in a standardised way","No, the Focus Group language is not written",,,,,,
OV,OL1,OL1,16. What is the approximate rate of formal literacy in the [q2o1answer] speaking community? QID: OL1:,Scalar,High,Fairly high,Intermediate,Fairly low,Low,,,,
OV,OL2,OL2,"17. Restrictions in access to literacy in terms of social categories QID: OL2:Is the ability to read and write restricted, in practice, to people of certain hierarchy groups associated with profession or wealth (such as class and caste)?17. Restrictions in access to literacy in terms of social categories QID: OL2:Is the ability to read and write restricted, in practice, to people of certain magico-religiously sanctioned groups (such as religious denomination)?17. Restrictions in access to literacy in terms of social categories QID: OL2:Is the ability to read and write restricted, in practice, to people of certain descent groups, such as clan, house, lineage group, kinship group)?17. Restrictions in access to literacy in terms of social categories QID: OL2:Is the ability to read and write restricted, in practice, to people of certain races, ethnicities, or some other similar grouping?17. Restrictions in access to literacy in terms of social categories QID: OL2:Is the ability to read and write restricted, in practice, to people of certain age cohorts or life stages?17. Restrictions in access to literacy in terms of social categories QID: OL2:Is the ability to read and write restricted, in practice, to a certain sex or genders?17. Restrictions in access to literacy in terms of social categories QID: OL2:Is the ability to read and write restricted, in practice, to other communities of practice not mentioned above?",Variable-Binaryx7,Yes,No,,,,,,,
OV,OS1,OS1,"18. Typically, how many levels of jurisdictional hierarchy are there in the [q2o1answer] speaking society, beyond the local community? QID: OS1:",Scalar,Four levels,Three levels,Two levels,One level,No levels,,,,
OV,OS2,OS2,"19. Typically, how many levels of jurisdictional hierarchy are there in [q2o2answer] society, beyond the local community? QID: OS2:",Scalar,Four levels,Three levels,Two levels,One level,No levels,,,,
OV,OT2Begin,OT2Begin,"2. What is the overall time frame when the largest number of people had the most opportunities for interaction?
QID: OT2",Value,,,,,,,,,
OV,OD3,OD3,2. What is the total number of native-like speakers of [q2o2answer]?,Types,10-99 speakers,100-999 speakers,"1,000-9,999 speakers","10,000-99,999 speakers","100,000-999,999 speakers","1,000,000-9,999,999 speakers","10,000,000-99,999,999 speakers","100,000,000-999,999,999 speakers",
OV,OS4,OS4,"20. Which of the following best characterises the dominant form of the [q2o1answer] speaking group's mobility and sedentism, in regards to subsistence? QID: OS4:",Types,Sedentary,Mobile,Mixed,,,,,,
OV,OS5,OS5,"21. Which of the following best characterises the dominant form of the [q2o2answer] speaking group's mobility and sedentism, in regards to subsistence? QID: OS5:",Types,Sedentary,Mobile,Mixed,,,,,,
OV,OS6,OS6,22. The [q2o1answer] speaking society's subsistence pattern can be broadly characterised as... QID: OS6:,Types-Multiple,Hunter-gatherer,Fishing,Animal Husbadry,"Agricultural, casual","Agricultural, shifting","Agricultural, Permanent",Highly Mixed,,
OV,OH1,OH1,"23. Have there been any natural disasters or major societal upheaval during the densest period of contact between the [q2o1answer] speaking and [q2o2answer] speaking people, such it impacted people's mobility, and [q2o1answer] speaking people talk about it? QID: OH1",Binary-YesNo,Yes,No,,,,,,,
OV,OE1,OE1,24. How long time have you spent working with this community? QID: OE1,Comment,,,,,,,,,
OV,OE2,OE2,25. Whom did you mostly interact with during your stay and through community-based research? QID: OE2,Comment,,,,,,,,,
OV,OE3,OE3,26. Was your interaction with members of the community typically mediated by one/a few person(s)? Who were they? QID: OE3,Comment,,,,,,,,,
OV,OC1,OC1,27. How certain are you in your responses to the set of questions about each domain? QID: OC1:,Scalar,Very certain,Certain,Somewhat certain,Uncertain,Very uncertain,,,,
OV,OC2,OC2,28. How certain are you in your responses to the set of questions about social networks (The S-Set of questions)? QID: OC2:,Scalar,Very certain,Certain,Somewhat certain,Uncertain,Very uncertain,,,,
