Dom,CID,QID,Wording,Socio-Political Power,Use Equivalence,Language Loyalty,Attitudes and Ideologies
DEM,P4,DEM01,"5. What other languages, if any, are spoken in this domain? QID: DEM01",,yes,,
DFK,P4,DFK01,"4. What other languages, if any, are spoken between family members? QID: DFK01",,yes,,
DLB,P4,DLB01,"4. What other languages, if any, are spoken in the labour domain? QID: DLB01",,yes,,
DLC,P4,DLC01,"4. What other languages, if any, are spoken in the local community? QID: DLC01",,yes,,
DKN,P4,DKN01,"4. What other languages, if any, are spoken in the knowledge domain? QID: DKN01",,yes,,
DTR,P4,DTR01,"4. What other languages, if any, are spoken in trade? QID: DTR01",,yes,,
DEM,S1,DEM08,13. How often do [q2o1answer] people exchange with [q2o2answer] people? QID: DEM08:,,,,
DFK,S1,DFK12,"27. Thinking about the [q2o1answer] person and their [q2o2answer] in-laws, how often would they typically meet? QID: DFK12:",,,,
DLB,S1,DLB07,13. How often do [q2o1answer] people work with [q2o2answer] people? QID:DLB07,,,,
DLC,S1,DLC16,10. How often do [q2o1answer] people interact with [q2o2answer] people in the local community? QID:DLC16,,,,
DKN,S1,DKN08,13. How often do [q2o1answer] people interact with [q2o2answer] people in the knowledge domain? QID:DKN08,,,,
DFK,S1,DFK03,"9. Typically, how much of their lives do spouses spend with each other during the course of their lifetime? QID: DFK03:",,,,
DTR,S1,DTR14,13. How often do [q2o1answer] people trade with [q2o2answer] people? QID:DTR14,,,,
DEM,S3,DEM11,14. How many people are typically involved in interactions between [q2o1answer] and [q2o2answer] in the context of exchange? QID: DEM11:,,,,
DFK,S3,DFK15,28. How many people are typically involved in interactions between a [q2o1answer] person and their [q2o2answer] in-laws? QID: DFK15:,,,,
DLB,S3,DLB09,14. How many people are typically involved in interactions between [q2o1answer] people and [q2o2answer] people when working? QID: DLB09,,,,
DLC,S3,DLC15,11. How many people are typically involved in interactions between [q2o1answer] people and [q2o2answer] people in the local community? QID: DLC15,,,,
DKN,S3,DKN10,14. How many people are typically involved in interactions between [q2o1answer] people and [q2o2answer] people in the knowledge domain? QID: DKN10,,,,
DTR,S3,DTR22,14. How many people are typically involved in interactions between [q2o1answer] people and [q2o2answer] people when trading? QID: DTR22,,,,
DFK,S4,DFK37,10. How physically proximate to each other are the households of the husband and wife? QID: DFK37:,,,,
DFK,S4,DFK11,29. How physically proximate to each other are a [q2o1answer] person and their [q2o2answer] in-laws? QID: DFK11:,,,,
DLB,S4,DLB10,15. How physically proximate to each other are people when working? QID: DLB10,,,,
DKN,S4,DKN11,15. How physically proximate to each other are people in the knowledge domain? QID: DKN11,,,,
DLC,S4,DLC05,12. How physically proximate to each other are people in the local community? QID: DLC05,,,,
DTR,S4,DTR36,15. How physically proximate to each other are people involved in trade? QID: DTR28,,,,
DEM,S6,DEM40,16. What is the proportion of total [q2o1answer] people who have opportunities for contact with [q2o2answer] people in the context of exchange? QID: DEM40:,,,,
DEM,S6,DEM42,40. What is the proportion of total [q2o1answer] people who have opportunities for contact with [q2o2answer] people in the context of marriage exchanges? QID: DEM42:,,,,
DLB,S6,DLB27,"17. What is the proportion of total [q2o1answer] people who have opportunities for contact with [q2o2answer] people, in work? QID: DLB27",,,,
DLC,S6,DLC32,"14. What is the proportion of total [q2o1answer] people who have opportunities for contact with [q2o2answer] people, in the form of local communities? QID: DLC32",,,,
DKN,S6,DKN29,"17. What is the proportion of total [q2o1answer] people who have opportunities for contact with [q2o2answer] people, in the knowledge domain? QID: DKN29",,,,
DTR,S6,DTR33,17. What is the proportion of total [q2o1answer] people who have opportunities for contact with [q2o2answer] people in trade? QID: DTR33,,,,
DEM,S7,DEM44,17. What is the proportion of total [q2o2answer] people who have opportunities for contact with [q2o1answer] people in the context of exchange? QID: DEM44:,,,,
DEM,S7,DEM43,41. What is the proportion of total [q2o2answer] people who have opportunities for contact with [q2o1answer] people in the context of marriage exchanges? QID: DEM43:,,,,
DLB,S7,DLB28,"18. What is the proportion of total [q2o2answer] people who have opportunities for contact with [q2o1answer] people, in work? QID: DLB28",,,,
DLC,S7,DLC33,"15. What is the proportion of total [q2o2answer] people who have opportunities for contact with [q2o1answer] people, in the form of local communities? QID: DLC33",,,,
DKN,S7,DKN30,"18. What is the proportion of total [q2o2answer] people who have opportunities for contact with [q2o1answer] people, in the knowledge domain? QID: DKN30",,,,
DTR,S7,DTR34,18. What is the proportion of total [q2o2answer] people who have opportunities for contact with [q2o1answer] people in trade? QID: DTR34,,,,
DEM,T1,DEM06,26. How much do [q2o1answer] children participate in practices of exchange? QID: DEM06:,,,,
DLB,T1,DLB17,27. How much do [q2o1answer] children participate in work? QID:DLB17,,,,
DLC,T1,DLC31,24. How much do [q2o1answer] children participate in the activities of the local community? QID:DLC31,,,,
DKN,T1,DKN22,27. How much do [q2o1answer] children participate in the activities of the knowledge domain? QID:DKN22,,,,
DTR,T1,DTR18,27. How much do [q2o1answer] children participate in trade? QID:DTR18,,,,
DFK,T10,DFK23,23. What language do children typically speak with their [q2o2answer] parent? QID: DFK23:,,yes,yes,
DEM,T11,DEM20,"28. Typically, how much supervision do adults provide to children during practices of exchange? QID: DEM20:",,,,
DFK,T11,DFK24,"18. Typically, how much supervision do grandparents provide to children? QID: DFK24:",,,,
DLB,T11,DLB26,"29. Typically, how much supervision do adults provide to children in work? QID: DLB26",,,,
DLC,T11,DLC20,"26. Typically in the local community, how much supervision do adults provide to children’s own activities, such as playing? QID: DLC20",,,,
DKN,T11,DKN27,"29. Typically, how much structured instruction do adults provide to children in the knowledge domain? QID: DKN27",,,,
DTR,T11,DTR31,"29. Typically, how much supervision do adults provide to children in trade? QID: DTR31",,,,
DEM,T2,DEM21,29. What language do [q2o2answer] adults typically speak to [q2o1answer] children during practices of exchange? QID: DEM21:,,yes,,
DFK,T2,DFK25,24. What language do [q2o2answer] grandparent/aunts/uncles typically speak to the children? QID: DFK25:,,yes,,
DLB,T2,DLB18,30. What language do [q2o2answer] adults typically speak to a [q2o1answer] children in work? QID: DLB18,,yes,,
DLC,T2,DLC21,27. What language do [q2o2answer] adults typically speak to a [q2o1answer] children? QID: DLC21,,yes,,
DKN,T2,DKN24,30. What language do [q2o2answer] adults typically speak to a [q2o1answer] children in the knowledge domain? QID: DKN24,,yes,,
DTR,T2,DTR19,30. What language do [q2o2answer] adults typically speak to a [q2o1answer] children in trade? QID: DTR30,,yes,,
DFK,T4,DFK26,"25. Typically, what language do [q2o1answer] children speak with their [q2o2answer] grandparents/aunts/uncles? QID: DFK26:",,yes,yes,
DEM,T4,DEM22,"30. Typically, what language do [q2o1answer] children prefer to speak with [q2o2answer] adults in the context of exchange? QID: DEM22:",,yes,,
DLB,T4,DLB19,"31. Typically, what language do [q2o1answer] children from four/five year of age prefer to speak with [q2o2answer] adults in work? QID: DLB19",,yes,,
DLC,T4,DLC22,"28. Typically, what language do [q2o1answer] children from four/five year of age prefer to speak with [q2o2answer] adults? QID: DLC22",,yes,,
DKN,T4,DKN25,"31. Typically, what language do [q2o1answer] children from four/five year of age prefer to speak with [q2o2answer] adults? QID: DKN25",,yes,,
DTR,T4,DTR20,"31. Typically, what language do [q2o1answer] children from four/five year of age prefer to speak with [q2o2answer] adults? QID: DTR20",,yes,,
DEM,T5,DEM25,"31. Typically, what language do [q2o1answer] children speak to [q2o2answer] children during practices of exchange? QID: DEM25:",,yes,,
DLB,T5,DLB20,"32. Typically, what language would a [q2o1answer] child speak to [q2o2answer] children in work? QID:DLB20",,yes,,
DLC,T5,DLC23,"29. Typically, what language would a [q2o1answer] child speak to [q2o2answer] children in the local community? QID:DLC23",,yes,,
DKN,T5,DKN26,"32. Typically, what language would a [q2o1answer] child speak to [q2o2answer] children in the knowledge domain? QID:DKN26",,yes,,
DTR,T5,DTR37,"32. Typically, what language would a [q2o1answer] child speak to [q2o2answer] children in trade? QID: DTR30",,yes,,
DEM,T6,DEM39,"27. Child socialisation. QID: DEM39:1. Typically during practices of exchange, do adults other than the parents look after children up to five year of age?27. Child socialisation. QID: DEM39:2. Typically during practices of exchange, do parents look after children up to five year of age?27. Child socialisation. QID: DEM39:3. Typically during practices of exchange, do children from sibling-kin groups look after children up to five year of age?27. Child socialisation. QID: DEM39:4. Typically during practices of exchange, do children up to five year of age look after each other as part of the same peer group?",,,,
DEM,T6,DEM30,"45. Does marriage impose any child rearing obligations for: QID: DEM30:Both parents and grandparents on both sides?45. Does marriage impose any child rearing obligations for: QID: DEM30:One parent, and grandparents on both sides?45. Does marriage impose any child rearing obligations for: QID: DEM30:One parent, and grandparents on that side?45. Does marriage impose any child rearing obligations for: QID: DEM30:One parent, and grandparents from the other side?",,,,
DFK,T6,DFK04,"17. Looking after children. QID: DFK04:Typically, do fathers look after children up to five year of age?17. Looking after children. QID: DFK04:Typically, do mothers primarily look after children up to five year of age?17. Looking after children. QID: DFK04:Do adults other than the parents look after children up to five year of age?17. Looking after children. QID: DFK04:Do children from sibling-kin groups look after children up to five year of age?17. Looking after children. QID: DFK04:Do children up to five year of age look after each other as part of the same peer group?",,,,
DLB,T6,DLB21,28. Looking after children during work. QID: DLB21,,,,
DLC,T6,DLC03,25. Looking after children in the local community. QID: DLC03,,,,
DKN,T6,DKN23,28. Looking after children in the knowledge domain. QID: DKN23,,,,
DTR,T6,DTR27,28. Looking after children during trade. QID: DTR27,,,,
DFK,T7,DFK20,20. What language do [q2o1answer] parents typically speak with their children? QID: DFK20:,,yes,yes,
DFK,T8,DFK21,21. What language do [q2o2answer] parents typically speak with their children? QID: DFK21:,,yes,,
DFK,T9,DFK22,22. What language do children typically speak with their [q2o1answer] parent? QID: DFK22:,,yes,yes,
